qid,k,jsd,overlap,entropy_pre,entropy_post,entropy_diff,exp_diff_News_External,exp_diff_Question_Help,exp_diff_Personal,exp_diff_Technical
E01,3,0.3804,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
E01,5,0.3804,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
E01,10,0.3804,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
E02,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E02,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E02,10,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E03,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E03,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E03,10,0.0,0.0,0.469,0.469,0.0,0.0,0.0,0.0,0.0
E04,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
E04,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
E04,10,0.01,0.0,0.7219,0.469,-0.2529,0.1,0.0,0.0,-0.1
E05,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E05,5,0.0749,0.0,-0.0,0.7219,0.7219,-0.2,0.0,0.0,0.2
E05,10,0.01,0.0,0.7219,0.469,-0.2529,0.1,0.0,0.0,-0.1
E06,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E06,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E06,10,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E07,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E07,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E07,10,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E08,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E08,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E08,10,0.1173,0.0,0.8813,-0.0,-0.8813,0.3,0.0,0.0,-0.3
E09,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E09,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E09,10,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E10,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E10,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
E10,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
I01,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
I01,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
I01,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
I02,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
I02,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
I02,10,0.0,0.0,0.469,0.469,0.0,0.0,0.0,0.0,0.0
I03,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
I03,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
I03,10,0.1639,0.0,0.971,-0.0,-0.971,0.4,0.0,0.0,-0.4
I04,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
I04,5,0.1639,0.0,1.371,-0.0,-1.371,0.4,-0.2,0.0,-0.2
I04,10,0.0756,0.0,1.1568,0.469,-0.6878,0.2,0.0,0.0,-0.2
I05,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
I05,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
I05,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
I06,3,0.0566,0.0,0.9183,0.9183,0.0,0.3333,0.0,0.0,-0.3333
I06,5,0.0,0.0,0.971,0.971,0.0,0.0,0.0,0.0,0.0
I06,10,0.0067,0.0,0.7219,0.8813,0.1594,-0.1,0.0,0.0,0.1
I07,3,0.0,0.0,0.9183,0.9183,0.0,0.0,0.0,0.0,0.0
I07,5,0.0,0.0,0.7219,0.7219,0.0,0.0,0.0,0.0,0.0
I07,10,0.0,0.0,0.469,0.469,0.0,0.0,0.0,0.0,0.0
I08,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
I08,5,0.0749,0.0,-0.0,0.7219,0.7219,-0.2,0.0,0.0,0.2
I08,10,0.1017,0.0,0.469,1.0,0.531,-0.4,0.0,0.0,0.4
I09,3,0.1323,0.0,-0.0,0.9183,0.9183,-0.3333,0.0,0.0,0.3333
I09,5,0.1639,0.0,-0.0,1.371,1.371,-0.4,0.2,0.0,0.2
I09,10,0.0749,0.0,-0.0,0.9219,0.9219,-0.2,0.1,0.0,0.1
I10,3,0.1323,0.0,-0.0,0.9183,0.9183,-0.3333,0.3333,0.0,0.0
I10,5,0.0749,0.0,-0.0,0.7219,0.7219,-0.2,0.2,0.0,0.0
I10,10,0.1173,0.0,-0.0,1.1568,1.1568,-0.3,0.1,0.0,0.2
S01,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,-0.3333,0.0,0.0
S01,5,0.1639,0.0,0.971,-0.0,-0.971,0.4,-0.4,0.0,0.0
S01,10,0.1173,0.0,0.8813,-0.0,-0.8813,0.3,-0.3,0.0,0.0
S02,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S02,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
S02,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
S03,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,-0.3333,0.0,0.0
S03,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,-0.2,0.0,0.0
S03,10,0.036,0.0,0.469,-0.0,-0.469,0.1,-0.1,0.0,0.0
S04,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
S04,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
S04,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
S05,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S05,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S05,10,0.0,0.0,0.469,0.469,0.0,0.0,0.0,0.0,0.0
S06,3,0.1323,0.0,0.9183,-0.0,-0.9183,0.3333,0.0,0.0,-0.3333
S06,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
S06,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
S07,3,0.1323,0.0,-0.0,0.9183,0.9183,-0.3333,0.0,0.0,0.3333
S07,5,0.0749,0.0,-0.0,0.7219,0.7219,-0.2,0.0,0.0,0.2
S07,10,0.0693,0.0,0.469,0.469,0.0,0.0,0.0,-0.1,0.1
S08,3,0.0566,0.0,0.9183,0.9183,0.0,0.3333,0.0,0.0,-0.3333
S08,5,0.0242,0.0,0.971,0.7219,-0.249,0.2,0.0,0.0,-0.2
S08,10,0.0633,0.0,0.971,0.469,-0.502,0.3,0.0,0.0,-0.3
S09,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S09,5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S09,10,0.036,0.0,0.469,-0.0,-0.469,0.1,0.0,0.0,-0.1
S10,3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
S10,5,0.0749,0.0,0.7219,-0.0,-0.7219,0.2,0.0,0.0,-0.2
S10,10,0.1173,0.0,0.8813,-0.0,-0.8813,0.3,0.0,0.0,-0.3
