qid	rank	docid	score
E01	1	zwi4tj	0.6216
E01	2	10c9m4m	0.6206
E01	3	zueyn5	0.6152
E01	4	104va7r	0.6116
E01	5	1058bdn	0.6115
E01	6	105pwgz	0.6112
E01	7	zotww7	0.6091
E01	8	107zfxk	0.6051
E01	9	1056k39	0.6026
E01	10	zmv5ei	0.6018
E02	1	zgc81b	2.1983
E02	2	ztr6bk	2.1956
E02	3	zludnu	2.1744
E02	4	1028waf	2.1607
E02	5	zh3zlt	2.1607
E02	6	109si97	2.1560
E02	7	10fzjkn	2.1332
E02	8	zk0ett	2.1062
E02	9	zxjj6r	2.1012
E02	10	10cqnm4	2.0891
E03	1	zfnsup	5.0443
E03	2	za55qj	4.9485
E03	3	109y32f	4.8137
E03	4	zcdxcc	4.6394
E03	5	10dv8ha	4.6243
E03	6	10hr7uk	4.1898
E03	7	108n11r	4.1390
E03	8	10bbl70	4.1254
E03	9	10bqcb6	4.1118
E03	10	10bqcjz	4.1118
E04	1	zfnzdh	7.5420
E04	2	zncih1	6.9021
E04	3	zkddzv	6.6807
E04	4	10h3iqe	6.6050
E04	5	zhs640	6.5604
E04	6	zpsnth	6.4160
E04	7	zr2910	6.3646
E04	8	zr7plp	6.3252
E04	9	zf5blx	6.3050
E04	10	zz6gpj	6.3050
E05	1	ztkmv7	7.9796
E05	2	z9q0pq	7.8918
E05	3	102pl9a	7.8850
E05	4	10ipib4	7.3871
E05	5	10itcjt	7.3871
E05	6	zdfrnw	7.3627
E05	7	zvzix2	7.3386
E05	8	zu17p5	7.3011
E05	9	10dfex7	7.3009
E05	10	100h2dd	7.2170
E06	1	10ex0hc	4.3580
E06	2	100t3go	4.3059
E06	3	10d0kbc	2.8780
E06	4	10cofea	2.8734
E06	5	100qidx	2.8315
E06	6	108xqru	2.7992
E06	7	100bmk3	2.7786
E06	8	10ar66m	2.7777
E06	9	10h6jc2	2.7541
E06	10	zx486o	2.7488
E07	1	zy3xbl	4.1578
E07	2	zyzq4k	4.1459
E07	3	zgjbfg	4.0603
E07	4	101ra6w	3.8269
