qid	rank	docid	score
E02	1	ymtd09	2.6836
E02	2	y0zrmx	2.6287
E02	3	yjbr2c	2.5908
E02	4	ybp5m4	2.5834
E02	5	yp2zov	2.5614
E02	6	ygwgu4	2.5394
E02	7	y4r2bh	2.4971
E02	8	y1z3y2	2.4766
E02	9	ynlrvi	2.4631
E02	10	yeyxlo	2.3975
E03	1	z8730v	4.9971
E03	2	ywtc8f	4.8176
E03	3	yxt8sa	4.7537
E03	4	yshoul	4.7166
E03	5	z11ih1	4.7166
E03	6	yucskh	4.6839
E03	7	yqxjqj	4.6516
E03	8	y774ry	4.6197
E03	9	yzw9rs	4.6197
E03	10	yxt2x9	4.3799
E04	1	yk4ul5	6.5561
E04	2	ymtd09	5.9040
E04	3	yal1k3	5.7240
E04	4	ywx9l0	5.6445
E04	5	z3ou1j	5.6445
E04	6	xz5hff	5.6056
E04	7	y2dy4l	5.5673
E04	8	yd0zkg	5.5294
E04	9	ydvrb1	5.5294
E04	10	yy11d8	5.4921
E05	1	z3xpd2	5.6736
E05	2	yst2wj	5.5544
E05	3	ysfimk	5.2776
E05	4	z6tfna	5.1412
E05	5	y857n7	4.9730
E05	6	y9yq3o	4.9721
E05	7	y7x2fg	4.9186
E05	8	y9z2mj	4.9186
E05	9	ymo07f	4.9186
E05	10	yo23b9	4.8836
E06	1	yzggk4	2.6361
E06	2	ysjvne	2.6124
E06	3	y5b4pl	2.5967
E06	4	y08orq	2.4854
E06	5	xw5hhl	2.3703
E06	6	yj39mc	2.3669
E06	7	z82i3a	2.3669
E06	8	y45l9a	2.3477
E06	9	ym1eu4	2.3195
E06	10	yvazwt	2.2652
E07	1	ysgot8	3.3974
E07	2	ywx9l0	3.3974
E07	3	xwkqib	3.3509
E07	4	xyxabb	3.3509
E07	5	z2q7ma	3.3509
E07	6	y13iym	3.3281
E07	7	y5axsy	3.3281
E07	8	yrbhku	3.3057
E07	9	xwrvql	3.2400
E07	10	yr6kfe	3.1977
E08	1	z4pjnt	6.8104
E08	2	yu8nna	6.6186
E08	3	yckdsd	6.4834
E08	4	z26fui	5.9701
E08	5	ydr3uh	5.8696
E08	6	yjdt78	5.8171
E08	7	yon48p	5.8075
E08	8	y6gax9	5.7017
E08	9	y6gbk5	5.7017
E08	10	ya8o0v	5.7017
E09	1	yzzxa2	6.1272
E09	2	yi5puj	6.0725
E09	3	z1yt45	5.5898
E09	4	ynbe8e	5.3914
E09	5	ynbfld	5.3914
E09	6	ygm1kj	5.2968
E09	7	xzoomn	5.0627
E09	8	yoqlba	4.9431
E09	9	yawcyk	4.7938
E09	10	ye578r	4.7034
E10	1	ykboto	5.3602
E10	2	yrqwkp	5.2529
E10	3	y8t1p6	4.8968
E10	4	z7naan	4.6525
E10	5	y7mts3	4.4615
E10	6	yo2iwi	4.4273
E10	7	y5r8br	4.4104
E10	8	xyeze6	4.3936
E10	9	ywkzjz	4.1260
E10	10	ywkzxg	4.1260
I01	1	y0yr03	4.6216
I01	2	yehxf4	4.4318
I01	3	z3sj8d	3.6979
I01	4	z3kw11	3.6482
I01	5	z5p9wc	3.6239
I01	6	yy0c70	3.4189
I01	7	y5k9px	3.3764
I01	8	ylq3mw	3.3556
I01	9	yifq4v	0.9970
I01	10	y4hs42	0.9933
I02	1	yy0ovo	4.3364
I02	2	z12zxj	4.2586
I02	3	y5h1jo	4.1324
I02	4	yl3ifa	3.9223
I02	5	y32zbz	3.8975
